,code_dep,codes_voisins
0,01,"38,73,74,39,71,69"
1,02,"59,80,60,77,51,08"
2,03,"42,71,58,18,23,63"
3,04,"83,06,05,26,84,13"
4,05,"04,26,38,73"
5,06,"83,04"
6,07,"48,30,84,26,38,69,43"
7,08,"55,51,02,59"
8,09,"31,11,66"
9,10,"89,21,52,51,77"
10,11,"09,31,81,34,66"
11,12,"34,30,48,15,46,82,81"
12,13,"30,84,83"
13,14,"27,61,50"
14,15,"48,43,63,19,46,12"
15,16,"17,79,86,87,24"
16,17,"85,79,16,33"
17,18,"36,41,45,89,58,03,23"
18,19,"23,87,24,46,15,63"
19,20,
20,21,"10,89,58,71,39,70,52"
21,22,"29,56,35"
22,23,"87,19,63,03,18,36"
23,24,"17,16,87,19,46,47,33"
24,25,"39,70,90"
25,26,"84,04,05,38,69,07"
26,27,"76,60,95,78,28,61,14"
27,28,"27,78,91,45,41,72,61"
28,29,"22,56"
29,30,"34,12,48,07,26,84,13"
30,31,"65,32,82,81,11,09"
31,32,"31,65,64,40,47,82"
32,33,"17,24,47,40"
33,34,"11,81,12,30"
34,35,"50,53,49,44,56,22"
35,36,"37,41,18,23,87,86"
36,37,"41,36,86,49,72"
37,38,"05,73,01,69,07,26"
38,39,"01,71,21,70,25"
39,40,"33,47,32,64"
40,41,"72,37,36,18,45,28"
41,42,"43,69,71,03,63"
42,43,"48,07,69,42,63,15"
43,44,"56,35,53,49,85"
44,45,"91,77,28,41,18,58,89"
45,46,"15,19,24,47,82,12"
46,47,"33,40,32,82,46,24"
47,48,"12,30,07,43,15"
48,49,"44,53,72,37,86,79,85,35"
49,50,"14,61,53,35"
50,51,"02,77,10,52,55,08"
51,52,"21,70,88,55,51,10"
52,53,"49,72,61,50,35,44"
53,54,"57,67,88,55"
54,55,"54,88,52,51,08"
55,56,"29,22,35,44"
56,57,"67,88,54"
57,58,"03,71,21,89,45,18"
58,59,"02,80,62,08"
59,60,"02,80,76,27,95,77"
60,61,"14,27,28,72,53,50"
61,62,"80,59,02"
62,63,"15,43,42,03,23,19"
63,64,"40,32,65"
64,65,"64,32,31"
65,66,"09,11"
66,67,"68,88,54,57"
67,68,"90,70,88,67"
68,69,"01,71,42,43,07,26,38"
69,70,"21,39,25,90,88,52"
70,71,"03,42,69,01,39,21,58"
71,72,"28,61,53,49,37,41"
72,73,"74,01,38,05"
73,74,"73,01"
74,75,"92,93,94"
75,76,"80,60,27"
76,77,"89,10,51,02,60,93,91,45,95,94"
77,78,"95,27,28,91,92"
78,79,"17,85,49,86,16"
79,80,"62,59,02,60,76"
80,81,"11,34,12,82,31"
81,82,"32,31,81,80,46,47"
82,83,"13,84,04,06"
83,84,"13,04,26,07,30"
84,85,"44,49,79,17"
85,86,"36,37,49,79,16,87"
86,87,"23,19,24,16,86"
87,88,"70,90,68,67,57,54,55,52"
88,89,"58,21,10,77,45"
89,90,"25,70,88,68"
90,91,"45,28,77,78,92,94"
91,92,"75,95,78,93"
92,93,"92,95,94,77"
93,94,"77,75,92,93,91"
94,95,"78,27,60,93,92,77"
